,Model,R2_train,R2_test,R2_full,MAE_train,MAE_test,MSE_train,MSE_test,RMSE_train,RMSE_test
0,Linear Regression,0.6665508578589232,0.6129668359932461,0.6508154839658319,1.0400644576757185,1.145675669838458,2.051783856738917,2.9874295746756996,1.4324049206627703,1.7284182290972574
1,Ridge,0.7980906427047345,0.7290137381411581,0.7777618839936997,0.717758163898396,0.8224045551047412,1.2423914398546663,2.09168734954659,1.1146261435363278,1.4462666937832007
2,Lasso,0.46824947934979877,0.3955917825564391,0.44692825738135855,1.1952867974294064,1.2448029959839824,3.2719746318045626,4.665303007306127,1.8088600365436134,2.1599312505971406
3,Elastic Net,0.5261063731519774,0.4548455179997888,0.5051859030719269,1.1174928792688132,1.1714092284773479,2.915968795525806,4.207935582145674,1.7076207996876256,2.051325323332619
4,KNN,0.8160846663896396,0.7186006322494243,0.7873765239332995,0.730846920289855,0.9263107851127412,1.1316703653381641,2.1720639771801142,1.063799964907954,1.473792379265178
5,Decision Tree,0.8120666901400679,0.7280816002513975,0.7873395238633512,0.7555470826779618,0.8900691291377605,1.156393832169408,2.0988823306451563,1.0753575369008244,1.4487519907303514
6,Random Forest,0.9746340971763495,0.7951800418861718,0.9217263974701999,0.24836612318840565,0.7118087476229288,0.1560818228260869,1.5809632281083046,0.39507192108031025,1.257363602188446
7,SVR,0.9020177064388799,0.7783876864917714,0.8655838380072598,0.3911765252593975,0.7229049595746758,0.6029059990500852,1.7105799736459593,0.7764702177482954,1.3078914227281864
