,Model,R2_train,R2_test,R2_full,MAE_train,MAE_test,MSE_train,MSE_test,RMSE_train,RMSE_test
0,Linear Regression,0.4726344567908132,0.4297241966071642,0.4635487031398259,1.2627432061658932,1.2643329739491764,3.5431529625065754,3.201073922574208,1.882326476068,1.7891545273045053
1,Ridge,0.47249438967773694,0.42977813023067124,0.46345094243107254,1.262158334094564,1.264955821649671,3.5440940160377297,3.2007711821901146,1.8825764303309784,1.7890699209897065
2,Lasso,0.09454439704708606,0.08639796056763183,0.0932115646083932,1.6406100012782452,1.5958209738000972,6.083385126942643,5.128233824122139,2.466451930799107,2.2645604041672502
3,Elastic Net,0.24287396845588904,0.23382210875965403,0.2412717905909283,1.4575657389381473,1.4273548979095618,5.08681952433185,4.3007121345685,2.2553978638661185,2.0738158391160244
4,KNN,0.710724996881638,0.5978054302955033,0.6862807674343869,0.9228044829699676,1.034160756501182,1.9435201967136562,2.257599816128185,1.394101931966833,1.502531136492081
5,Decision Tree,0.6242943180690157,0.503142555343534,0.598099838291241,1.1076990225288996,1.1645918860888478,2.524212507066068,2.7889617617724296,1.588777047626906,1.6700184914462564
6,Random Forest,0.9559162227768774,0.6427164366927579,0.8877472277890337,0.3660064792925316,0.9911836091410562,0.29618083296850856,2.0055052146046775,0.5442249837783162,1.4161586120928253
7,SVR,0.7736956826541872,0.6673011309361211,0.750641434368746,0.6641170125583692,0.9373570993277471,1.5204459653401883,1.8675063320136878,1.2330636501576828,1.3665673536323366
