,Model,R2_train,R2_test,R2_full,MAE_train,MAE_test,MSE_train,MSE_test,RMSE_train,RMSE_test
0,Linear Regression,0.7490871432121132,0.6787778218548681,0.7284044135311694,0.8035040853613987,0.9013728208702897,1.543920448257799,2.4794480790689217,1.2425459541835058,1.5746263299808376
1,Ridge,0.748190104995872,0.6804003612791113,0.7282504526756636,0.8019684454483011,0.8941228439129699,1.549440116172203,2.466924030194452,1.2447650847337433,1.5706444633316772
2,Lasso,0.46824947934979877,0.3955917825564391,0.44692825738135855,1.1952867974294064,1.2448029959839824,3.2719746318045626,4.665303007306127,1.8088600365436134,2.1599312505971406
3,Elastic Net,0.5230714847479477,0.4498371722180369,0.5015697176234385,1.11816996711491,1.1718271956001765,2.9346431126777683,4.246593975534275,1.7130800076697434,2.0607265649605906
4,KNN,0.827450359168546,0.7425753195065159,0.8024578341606492,0.6982835144927536,0.858883455582722,1.0617348278985506,1.9870082857919045,1.0304051765682034,1.4096128141414948
5,Decision Tree,0.8059039231092033,0.7242126881715845,0.7818542904293703,0.7575731096411734,0.887206315834188,1.1943146551938106,2.128745669097598,1.0928470410783984,1.4590221619624557
6,Random Forest,0.9746803443260755,0.793070424829998,0.9211369726553847,0.2510045289855071,0.7190230915512089,0.1557972542270532,1.597246929276465,0.39471160893372925,1.2638223487802647
7,SVR,0.8915219759675724,0.7966772460039816,0.8635775530156556,0.459202622383014,0.7125238096953082,0.6674884724294899,1.569406616745684,0.816999677129367,1.2527596005402168
