LIBGEO,prop_tertiaire
Aincille,0.5
Aincourt,0.824609436334738
Aincreville,0.25
Aingeray,0.841696689074035
Aingeville,0.75
Aingoulaincourt,0.5
Ainharp,0.875
Ainhice-Mongelos,0.5
Ainhoa,0.749279715581623
Ainvelle,0.285714285714286
Ainvelle,0.5
Airaines,0.732794730117467
Aire,0.583333333333333
Airel,0.599071222653281
Aire-sur-l'Adour,0.72709764816886
Aire-sur-la-Lys,0.738336713995943
Airion,0.801577600054501
Airon-Notre-Dame,0.833681465748718
Airon-Saint-Vaast,0.727272727272727
Airoux,0.8
Airvault,0.670766137908976
Aiserey,0.841946537515021
Aisey-et-Richecourt,0.666666666666667
Aisey-sur-Seine,0.666666666666667
Aisonville-et-Bernoville,0.582440286507626
Aïssey,0.461538461538462
Aisy-sous-Thil,0.538461538461538
Aisy-sur-Armançon,0.713950858031732
Aiti,1
Aiti,0
Aiton,0.681448089982886
Aix,0.644739777701088
Aix-en-Ergny,0.818181818181818
Aix-en-Issart,0.608498359327229
Aix-en-Pévèle,0.750719545410556
Aix-en-Provence,0.855230322542731
Aixe-sur-Vienne,0.775250838386317
Aix-la-Fayette,1
Aix-les-Bains,0.782554474152195
Aix-Noulette,0.813301252779247
Aix-Villemaur-Pâlis,0.656909532417886
Aizac,0.875
Aizanville,0
Aize,0.428571428571428
Aizecourt-le-Bas,0.5
Aizecourt-le-Haut,0.799999999999999
Aizecq,0
Aizelles,0.75
Aizenay,0.695104895104895
Aizier,0.818181818181818
Aizy-Jouy,0.845888706236771
Ajac,0.583333333333333
Ajaccio,0.85590687414256
Ajaccio,0
Ajain,0.75
Ajat,0.706732397268018
Ajoncourt,0.6
Ajou,0
Ajoux,0.8
Alaigne,0.4
Alaincourt,0.2
Alaincourt,0.665973667312066
Alaincourt-la-Côte,0.416666666666666
Alairac,0.82919837535253
Alaise,0
Alan,0.688128804752236
Alando,0.7
Alando,0
Alata,0.837154150197629
Alata,0
Alba-la-Romaine,0.732783966484392
Alban,0.610970067087083
Albane,0
Albaret-le-Comtal,0.111111111111111
Albaret-Sainte-Marie,0.682926829268293
Albas,0.333333333333333
Albas,0.779590065568863
Albé,0.595317929140446
Albefeuille-Lagarde,0.647807637938998
Albepierre-Bredons,0.6
Albert,0.717079045318053
Albertacce,0.706455629315245
Albertacce,0
Albertville,0.711135462052554
Albestroff,0.674994836554872
Albi,0.85098429106053
Albiac,0
Albiac,0.777777777777778
Albias,0.824578162505309
Albières,0.6
Albiès,0.833333333333333
Albiez-le-Jeune,0.7
Albiez-Montrond,0.912602489917717
Albignac,0.833333333333333
Albigny-sur-Saône,0.798941798941799
Albine,0.640695213741048
Albiosc,0
Albitreccia,0.856948450271911
Albitreccia,0
Albon,0.602340863727593
Albon-d'Ardèche,0.875
Alboussière,0.803008100087594
Albussac,0.659437528715396
Alby-sur-Chéran,0.725638965675562
Alçay-Alçabéhéty-Sunharette,0.6
Aldudes,0.312369350823164
Alembon,0.612214441438169
Alençon,0.83693799634961
Alénya,0.805442607778197
Aleria,0
Aléria,0.639470938610403
Alès,0.800343166724593
Alet-les-Bains,0.860695939631371
Alette,0.513936597585422
Aleu,0.8
Alex,0.765466486310256
Alexain,0.647792188719423
Aleyrac,0.333333333333333
Alfortville,0.888408866065548
Algajola,0.866184638566691
Algajola,0
Algans,0.428571428571429
Algolsheim,0.551365127700034
Algrange,0.795497388027045
Alièze,0.777777777777777
Alignan-du-Vent,0.723455911206363
Alincourt,0.583333333333333
Alincthun,0.6
Alise-Sainte-Reine,0.702713017240991
Alissas,0.813084112149533
Alix,0.88035021705948
Alixan,0.711336588971118
Alizay,0.759055084463841
Allain,0.853845570454213
Allaines,0.590909090909091
Allaines-Mervilliers,0
Allainville,0.6
Allainville,0.636363636363636
Allainville En Beauce,0
Allaire,0.65914434560539
Allamont,0.699999999999999
Allamps,0.82167442326284
Allan,0.703592492648383
Allanche,0.515224276712869
Alland'Huy-et-Sausseuil,0.687145138932232
Allarmont,0.912967031409977
Allas-Bocage,0.666666666666667
Allas-Champagne,0.794173518000308
Allas-les-Mines,0.285714285714286
Allassac,0.718614718614719
Allauch,0.859665162583827
Allègre,0.617309364526388
Allègre-les-Fumades,0.727501787905642
Alleins,0.749503360857184
Allemagne-en-Provence,0.662213475439707
Allemanche-Launay-et-Soyer,0.222222222222222
Allemans,0.674809898096209
Allemans-du-Dropt,0.527477256257511
Allemant,0.636363636363637
Allemant,0.75
Allemond,0.857867159450481
Allenay,0.374368378717247
Allenc,0.742385872618526
Allenjoie,0.733549840792475
Allennes-les-Marais,0.825488161348917
Allerey,0.416666666666667
Allerey-sur-Saône,0.681345501852924
Allériot,0.668683503724624
Allery,0.613402134646911
Alles-sur-Dordogne,0.64915971692416
Alleuds,0
Alleuds,0
Alleux,0
Alleuze,0.5
Allevard,0.762909833816111
Allèves,0.81558125270356
Allex,0.685661063474341
Alleyrac,0.285714285714285
Alleyras,1
Alleyrat,0.111111111111111
Alleyrat,0.75
Allez-et-Cazeneuve,0.862068965517241
Alliancelles,0.57142857142857
Alliat,0.666666666666667
Allibaudières,0.333333333333333
Allichamps,0.740179680035762
Allier,0.750245127935824
Allières,0.75
Alligny-Cosne,0.627450980392157
Alligny-en-Morvan,0.667176637884248
Allineuc,0.576923076923077
Allinges,0.762506535832297
Allogny,0.823529411764706
Alloinay,0.520833333333333
Allondans,0.805795433794963
Allondaz,0.686696504706724
Allondrelle-la-Malmaison,0.700201659773798
Allonne,0.669517788504508
Allonne,0.802979588024693
Allonnes,0.653359713648168
Allonnes,0.670391061452514
Allonnes,0.784252093707039
Allons,0.5
Allons,0.8
Allonville,0.822222222222222
Allonzier-la-Caille,0.814384042522369
Allos,0.935994828549647
Allouagne,0.756529732797379
Alloue,0.577256484451966
Allouis,0.667013637260877
Allouville-Bellefosse,0.564229084474852
Alluy,0.878322180013833
Alluyes,0.699648526450467
Ally,0.285714285714285
Ally,0.643700290311615
Almayrac,0.702644720121466
Almenêches,0.756756756756757
Almont-les-Junies,0.614254411605511
Alos,0.5
Alos,1
Alos-Sibas-Abense,0.680582800193508
Aloxe-Corton,0.75
Alpuech,0
Alquines,0.693716629585952
Alrance,0.400003009586023
Alsting,0.698224852071006
Altagene,0
Altagène,0.916666666666667
Alteckendorf,0.653339936301728
Altenach,0.748645950835677
Altenbach,0
Altenheim,0.8
Altenstadt,0
Althen-des-Paluds,0.809060722271383
Altiani,0.692307692307692
Altiani,0
Altier,0.727272727272727
Altillac,0.541666666666667
Altkirch,0.759478620852098
Altorf,0.63265306122449
Altrippe,0.526871354541469
Altviller,0.74094522588475
Altwiller,0.449795502513262
Aluze,0.711172747200069
Alvignac,0.788690847576243
Alvimare,0.553665169468169
Alzen,0.734813375104796
Alzi,0.888888888888889
Alzi,0
Alzing,0.439784602404817
Alzon,0.875
Alzonne,0.771535195326225
Amage,0.573791212928825
Amagne,0.66878112913276
Amagney,0.746263062292762
Amailloux,0.561557743840609
Amance,0.658238444295124
Amance,0.764384944827052
Amance,0.78398703542877
Amancey,0.570211751280269
Amancy,0.746120205770715
Amange,0.529553246064048
Amanlis,0.742877499148727
Amanty,0
Amanvillers,0.758967452525993
Amanzé,0.75
Amareins,0
Amarens,0.666666666666667
Amathay-Vésigneux,0.555555555555556
Amayé-sur-Orne,0.760736889410232
Amayé-sur-Seulles,0.562500000000001
Amazy,0.401205921069083
Ambacourt,0.935315438665955
Ambarès-et-Lagrave,0.773654958280966
Ambax,1
Ambazac,0.820668693009118
Ambel,0
Ambenay,0.629813726510108
Ambérac,0.604383478778702
Ambérieu-en-Bugey,0.737967595849695
Ambérieux,0.722550203181256
Ambérieux-en-Dombes,0.695035460992908
Ambernac,0.414382460816944
Amberre,0.636138140756792
Ambert,0.6265140108351
Ambès,0.759594838886539
Ambeyrac,0.857142857142857
Ambialet,0.677317053072647
Ambiegna,0.8
Ambiegna,0
Ambierle,0.71551724137931
Ambiévillers,0.8
Ambillou,0.811953963177201
Ambilly,0.848101265822785
Amblaincourt,0
Amblainville,0.727215352539514
Amblans-et-Velotte,0.52363077078543
Ambleny,0.736114094623259
Ambléon,0.6
Ambleteuse,0.763636363636364
Ambleville,0.724137931034483
Ambleville,0
Amblie,0
Amblimont,0
Ambloy,0.466666666666667
Ambly-Fleury,0.7
Ambly-sur-Meuse,0.5
Amboise,0.736655289437666
Ambon,0.669291338582677
Ambonil,0.666666666666666
Ambonnay,0.405830284298973
Ambonville,0.75
Ambourville,0
Ambrault,0.625
Ambres,0.693333333333333
Ambricourt,0.7
Ambrief,0.625
Ambrières,0.615384615384615
Ambrières-les-Vallées,0.626183461609211
Ambrines,0.722222222222222
Ambronay,0.718720701900564
Ambrugeat,0.596884943413674
Ambrumesnil,0.682557469665344
Ambrus,0.714285714285714
Ambutrix,0.580789785082177
Amécourt,0.909090909090909
Amelécourt,0.5
Amélie-les-Bains-Palalda,0.842592592592593
Amel-sur-l'Étang,0.75
Amendeuix-Oneix,0.728534612669143
Amenoncourt,0.333333333333333
Amenucourt,0.923076923076923
Ames,0.671228655284074
Amettes,0.609683999433703
Ameugny,0.857142857142857
Ameuvelle,0.75
Amfreville,0.80910496404371
Amfreville,0
Amfreville-la-Mi-Voie,0.791577732735792
Amfreville-les-Champs,0.580001448417928
Amfreville-les-Champs,0.789473684210526
Amfreville-Saint-Amand,0.718843087363122
Amfreville-sous-les-Monts,0.630812990069034
Amfreville-sur-Iton,0.672733369604988
Amfroipret,0.882352941176471
Amiens,0.878959709062646
Amifontaine,0.631454126570025
Amigny,0.5
Amigny-Rouy,0.617021276595745
Amillis,0.824739416457693
Amilly,0.757524543453723
Amilly,0.762818210720695
Amions,0
Amirat,0.5
Ammerschwihr,0.715862985589875
Ammeville,0
Amné,0.733904168032132
Amnéville,0.775681753871765
Amoncourt,0.660112828155228
Amondans,0.7
Amont-et-Effreney,0.714285714285714
Amorots-Succos,0.666666666666666
Amou,0.65881830343606
Ampilly-les-Bordes,0.25
Ampilly-le-Sec,0.473938680234536
Amplepuis,0.6938610302281
Amplier,0.54955475746706
Ampoigné,0
Amponville,0.808998624584132
Ampriani,0.333333333333333
Ampriani,0
Ampuis,0.720051910620698
Ampus,0.885568502611684
Amuré,0.742857142857143
Amy,0.640286633526486
Anais,0.644229725915941
Anais,0.759460381873504
Anan,0.6875
Ance,0
Ance Féas,0.500458874020009
Anceaumeville,0.69047619047619
Anceins,0
Ancelle,0.783121945471963
Ancemont,0.737075612035252
Ancenis-Saint-Géréon,0.781231901107995
Ancerville,0.772019185545147
Ancerville,0.805031446540881
Ancerviller,0.642857142857143
Ancey,0.922726215404306
Anchamps,0.8
Anché,0.792041890922917
Anché,0.884781699594869
Anchenoncourt-et-Chazel,0.462471339144971
Ancienville,0.5
Ancier,0.677729274842676
Ancinnes,0.736024414052185
Ancizan,0.7977804998689
Ancône,0.662627073965258
Ancourt,0.514161941319164
Ancourteville-sur-Héricourt,0.757575757575758
Ancretiéville-Saint-Victor,0.735181712191975
Ancretteville-sur-Mer,0.555555555555555
Ancteville,0
Anctoville-sur-Boscq,0.774193548387097
Ancy,0.651836658462683
Ancy-Dornot,0.779656516012398
Ancy-le-Franc,0.809852082389555
Ancy-le-Libre,0.571428571428571
Andainville,0.706290790665762
Andance,0.520130675625973
Andancette,0.654320987654321
Andard,0
Andé,0.624986427201753
Andechy,0.686271891165451
Andel,0.740368340906076
Andelain,0.666666666666667
Andelaroche,0.521351121319116
Andelarre,0.75
Andelarrot,0.823529411764706
Andelat,0.82300624291352
Andelnans,0.704267171893058
Andelot-Blancheville,0.686094422763388
Andelot-en-Montagne,0.743930507974369
Andelot-Morval,0.666666666666667
Andelu,0.748227462131633
Andernay,0.687966912406622
Andernos-les-Bains,0.843059869150927
Anderny,0.634048756390095
Andert-et-Condon,0.592274136375081
Andevanne,0
Andeville,0.765215272082361
Andigne,0
Andillac,0.499999999999999
Andilly,0.754154015143554
Andilly,0.822111095467296
Andilly,0.827936855352027
Andilly,0.886075949367089
Andilly-en-Bassigny,0.5
Andiran,0.800303589591909
Andlau,0.701675306386366
Andoins,0.769230769230769
Andolsheim,0.701986754966887
Andon,0.775276460816718
Andonville,0.869565217391305
Andornay,0.5
Andouillé,0.681155961733858
Andouillé-Neuville,0.666666666666667
Andouque,0.620062791972997
Andrein,0.666666666666667
Andres,0.742857142857143
Andrest,0.662650602409639
Andrésy,0.860747927479867
Andreze,0
Andrezel,0.767951648259789
Andrézieux-Bouthéon,0.724286320177451
Andryes,0.75
Anduze,0.828461917877877
Aneran-Camors,0
Anères,0.5
Anet,0.773025142028687
Anetz,0
Angaïs,0.695434835933958
Angé,0.58009419232806
Angeac-Champagne,0.567046541343073
Angeac-Charente,0.49048243193833
Angecourt,0.639908050836745
Angeduc,0.5
Angely,0.777777777777779
Angeot,0.668439222978373
Angers,0.854618445315446
Angerville,0.75
Angerville,0.817955775110615
Angerville-Bailleul,0.75
Angerville-la-Campagne,0.816052949774004
Angerville-la-Martel,0.661965316966444
Angerville-l'Orcher,0.728120285439039
Angervilliers,0.797472532614478
Angeville,0.642857142857143
Angevillers,0.841946849806566
Angey,0
Angicourt,0.79811507202904
Angiens,0.677891320722688
Angirey,0.222222222222222
Angivillers,0.545454545454545
Anglade,0.629534542476374
Anglards-de-Saint-Flour,0.766031020232314
Anglards-de-Salers,0.638297872340426
Anglars,0.470588235294118
Anglars-Juillac,0.800441650278226
Anglars-Nozac,0.809225281844759
Anglars-Saint-Félix,0.638888888888889
Anglefort,0.65675812727549
Anglemont,0.5
Angles,0.5
Angles,0.758681385969418
Anglès,0.520854898180777
Anglesqueville-la-Bras-Long,0.7
Anglesqueville-l'Esneval,0.777593819586728
Angles-sur-l'Anglin,0.896319839821285
Anglet,0.840469619237435
Angliers,0.75631178370942
Angliers,0.792084808580565
Anglure,0.710526315789474
Anglure-sous-Dun,0.4
Anglus,0
Angluzelles-et-Courcelles,0.777777777777777
Angoisse,0.61481982035152
Angomont,0.666666666666667
Angos,0.818181818181818
Angoulême,0.837252814790828
Angoulins,0.805625764347578
Angoumé,0.578947368421053
Angous,0.555555555555556
Angoustrine-Villeneuve-des-Escaldes,0.940666916940932
Angoville,0
Angoville En Saire,0
Angoville-Au-Plain,0
Angoville-Sur-Ay,0
Angres,0.788965085169312
Angresse,0.732484076433121
Angrie,0.483333333333333
Anguilcourt-le-Sart,0.74173164082253
Angviller Les Bisping,0
Angy,0.730166365915721
Anhaux,0.745649102807014
Anhiers,0.660825536131727
Aniane,0.813226323699988
Aniche,0.731806898197562
Anisy,0.91304347826087
Anizy-le-Grand,0.824881667090561
Anjeux,0.375
Anjou,0.766937102155031
Anjouin,0.454545454545455
Anjoutey,0.562572525283088
Anla,0.4
Anlezy,0.75
Anlhiac,0.727272727272727
Annay,0.571507358387519
Annay,0.757391319591211
Annay-la-Côte,0.720041937895784
Annay-sur-Serein,0.580077463122518
Annebault,0.72618047237631
Annebecq,0
Annecy,0.799393330432862
Annecy-le-Vieux,0
Annelles,0.81759086874643
Annemasse,0.814811271533396
Annéot,0.8
Annepont,0.84533301919795
Annequin,0.655700104192983
Annesse-et-Beaulieu,0.811913563095421
Annet-sur-Marne,0.851852924754847
Anneux,0.681874554707778
Anneville-Ambourville,0.702665774131778
Anneville-en-Saire,0.552886811743159
Annéville-la-Prairie,1
Anneville-sur-Mer,0
Anneville-sur-Scie,0.71734675712515
Anneyron,0.609007884248784
Annezay,0.727272727272727
Annezin,0.751748803191989
Annoire,0.6
Annois,0.677804190335251
Annoisin-Chatelans,0.654344141032552
Annoix,0.670448806432182
Annonay,0.686495671210742
Annonville,0.5
Annot,0.67155578910966
Annouville-Vilmesnil,0.699351868995236
Annoux,0
Annoville,0.838709677419355
AnnSullin,0.837912130946984
Anor,0.60604192757706
Anos,0.6875
Anost,0.620189342281202
Anould,0.630272941383227
Anoux,0.882310892949647
Anoye,0.923076923076923
Anquetierville,0.74546341397803
Anrosey,0.714285714285714
Ansacq,0.928571428571429
Ansac-sur-Vienne,0.687702106878547
Ansan,0.714285714285715
Ansauville,0.799999999999999
Ansauvillers,0.679191989455934
Anse,0.800282483673198
Anse-Bertrand,0.78003852680253
Anserville,0
Ansignan,0.8
Ansigny,0
Ansost,0
Ansouis,0.85
Anstaing,0.881439027670994
Antagnac,0.714285714285714
Anterrieux,0.333333333333333
Anteuil,0.692766050142143
Antezant-la-Chapelle,0.777566409222692
Anthé,0.75
Anthelupt,0.645161290322581
Anthenay,0.6
Antheny,0.375
Antheuil,1
Antheuil-Portes,0.692307692307692
Anthien,0.333333333333333
Anthon,0.656229788965372
Anthy-sur-Léman,0.848564214039375
Antibes,0.87999482077623
Antichan,1
Antichan-de-Frontignes,0.5
Antignac,0.666666666666667
Antignac,0.667102050038965
Antignac,0
Antigny,0.59892720222052
Antigny,0.616799842830443
