CODGEO,salaire_moyen,REG,DEP,ent_total,pop_totale,age_moyen,densite_commune,IDF,ratio_homme,ratio_femme,ratio_solo,ratio_e2p,ratio_ase,ratio_e1p,ratio_ac,ratio_ace,ratio_str,ratio_ETI_GE,ratio_PME,ratio_TPE,ratio_enfant,ratio_jeune_actif,ratio_actif,ratio_senior_actif,ratio_senior
06130,14.2,93,6,333,3450,35.15942028985507,1,0,0.5136231884057971,0.4863768115942029,0.10782608695652174,0.25971014492753625,0.042028985507246375,0.057971014492753624,0.19043478260869565,0.30376811594202896,0.03826086956521739,0.0,0.012012012012012012,0.21021021021021022,0.3255072463768116,0.11797101449275363,0.39217391304347826,0.06231884057971015,0.10202898550724637
06136,12.1,93,6,292,3425,38.575182481751824,1,0,0.5056934306569343,0.4943065693430657,0.12846715328467154,0.22715328467153284,0.053722627737226275,0.08175182481751825,0.21722627737226277,0.24233576642335766,0.04934306569343066,0.0,0.010273972602739725,0.1643835616438356,0.3100729927007299,0.08467153284671533,0.34715328467153284,0.06656934306569343,0.19153284671532847
06140,15.4,93,6,290,3275,40.97862595419847,2,0,0.48366412213740456,0.5163358778625954,0.07633587786259542,0.23419847328244275,0.03389312977099237,0.055877862595419846,0.29862595419847326,0.27236641221374047,0.028702290076335877,0.0,0.02413793103448276,0.20689655172413793,0.2821374045801527,0.07633587786259542,0.35786259541984733,0.08,0.2036641221374046
06147,13.6,93,6,315,4524,38.548850574712645,2,0,0.48165340406719714,0.5183465959328029,0.07692307692307693,0.2749778956675508,0.03404067197170645,0.04221927497789567,0.22612732095490717,0.3154288240495137,0.03028293545534925,0.0,0.04126984126984127,0.16825396825396827,0.2979664014146773,0.08399646330680813,0.39655172413793105,0.05526083112290009,0.16622458001768348
06148,17.8,93,6,476,3863,43.37432047631375,2,0,0.473725084131504,0.526274915868496,0.11959616878074036,0.21925964276469065,0.03209940460781776,0.04141858659073259,0.296142894123738,0.266373285011649,0.025110018120631634,0.0,0.004201680672268907,0.16596638655462184,0.236862542065752,0.08490810251100181,0.37224954698420915,0.07714211752523945,0.22883769091379758
06149,12.4,93,6,711,9961,38.66629856440117,3,0,0.48288324465415117,0.5171167553458488,0.10711775926111836,0.23883144262624234,0.046983234614998495,0.07107720108422849,0.2415420138540307,0.26955124987451057,0.024897098684870996,0.0014064697609001407,0.06188466947960619,0.29957805907172996,0.29535187230197774,0.10882441521935549,0.34283706455175184,0.06435096877823512,0.18863567914867985
06150,18.6,93,6,255,3097,41.164029706167256,2,0,0.4872457216661285,0.5127542783338714,0.12043913464643204,0.20213109460768486,0.03874717468517921,0.05489183080400387,0.27445915402001936,0.2479819179851469,0.06134969325153374,0.0,0.043137254901960784,0.21176470588235294,0.2534711010655473,0.08169195996125282,0.3803680981595092,0.0629641588634162,0.22150468195027445
06152,19.1,93,6,2748,12544,34.115114795918366,2,0,0.5014349489795918,0.49856505102040816,0.1790497448979592,0.23294005102040816,0.04727359693877551,0.07653061224489796,0.1751434948979592,0.2574936224489796,0.031568877551020405,0.004366812227074236,0.07605531295487628,0.225254730713246,0.38137755102040816,0.10044642857142858,0.36216517857142855,0.05524553571428571,0.10076530612244898
06155,13.5,93,6,3087,25831,41.83945646703573,3,0,0.47559134373427275,0.5244086562657272,0.1599628353528706,0.19468855251442066,0.0412682435832914,0.06368317138322172,0.2734698617939685,0.2274398977972204,0.03948743757500677,0.0,0.03757693553611921,0.25008098477486235,0.2591459873795052,0.11126166234369556,0.313963841895397,0.06708993070341837,0.24853857767798382
06157,15.7,93,6,1931,17868,42.131464069845535,2,0,0.46921871502126705,0.5307812849787329,0.18524736959928365,0.19291470785762257,0.045836131631967765,0.06256995746586076,0.25475710767853144,0.2268300873069174,0.03184463845981643,0.0,0.01967892283790782,0.2040393578456758,0.2575554063129617,0.09771658831430491,0.3434072084172823,0.06413700470114171,0.23718379225430938
